"Time (s)","Latitude (°)","Longitude (°)","Altitude (m)","Altitude WGS84 (m)","Speed (m/s)","Direction (°)","Distance (km)","Horizontal Accuracy (m)","Vertical Accuracy (m)","Satellites"
1.602156870E2,6.506290679E1,2.548582460E1,1.051612072E1,2.800000000E1,5.879999638E0,8.809999847E1,6.483539262E-1,2.500000000E0,1.000000000E2,1.900000000E1
1.612426299E2,6.506290323E1,2.548596290E1,1.051613773E1,2.800000000E1,6.219999790E0,9.459999847E1,6.549112939E-1,3.000000000E0,1.000000000E2,1.700000000E1
1.622204153E2,6.506289757E1,2.548610212E1,1.051615562E1,2.800000000E1,6.869999886E0,9.550000000E1,6.612422172E-1,2.500000000E0,1.000000000E2,1.700000000E1
1.632174622E2,6.506289062E1,2.548623615E1,1.151617339E1,2.900000000E1,6.639999866E0,9.240000153E1,6.677541028E-1,3.000000000E0,1.000000000E2,1.700000000E1
1.642205580E2,6.506288990E1,2.548637504E1,1.151618942E1,2.900000000E1,6.719999790E0,8.859999847E1,6.746510951E-1,3.000000000E0,1.000000000E2,1.800000000E1
1.652267812E2,6.506288517E1,2.548652172E1,1.151620781E1,2.900000000E1,6.750000000E0,8.790000153E1,6.816312008E-1,2.500000000E0,1.000000000E2,1.900000000E1
1.662021571E2,6.506287695E1,2.548666933E1,1.151622758E1,2.900000000E1,6.679999828E0,9.180000305E1,6.888777305E-1,2.500000000E0,1.000000000E2,1.900000000E1
1.672145086E2,6.506287473E1,2.548682380E1,1.251624593E1,3.000000000E1,6.649999619E0,9.359999847E1,6.960583354E-1,2.500000000E0,1.000000000E2,1.700000000E1
1.682049253E2,6.506287230E1,2.548697686E1,1.251626420E1,3.000000000E1,6.579999924E0,9.030000305E1,7.030959410E-1,2.000000000E0,1.000000000E2,1.700000000E1
1.692272822E2,6.506287029E1,2.548712689E1,1.351628198E1,3.100000000E1,6.519999981E0,8.930000305E1,7.098116443E-1,2.000000000E0,1.000000000E2,1.700000000E1
1.702262475E2,6.506286824E1,2.548727006E1,1.351629898E1,3.100000000E1,6.230000019E0,9.380000305E1,7.155715422E-1,2.000000000E0,1.000000000E2,1.600000000E1
1.712182006E2,6.506286291E1,2.548739227E1,1.351631480E1,3.100000000E1,6.199999809E0,9.409999847E1,7.215785905E-1,2.000000000E0,1.000000000E2,1.600000000E1
1.722153310E2,6.506285181E1,2.548751766E1,1.351633309E1,3.100000000E1,6.150000095E0,1.009000015E2,7.276915957E-1,2.000000000E0,1.000000000E2,1.600000000E1
1.732008660E2,6.506283488E1,2.548764171E1,1.351635335E1,3.100000000E1,6.399999619E0,1.073000031E2,7.340302741E-1,2.000000000E0,1.000000000E2,1.700000000E1
1.742208005E2,6.506281560E1,2.548776895E1,1.351637482E1,3.100000000E1,6.420000076E0,1.104000015E2,7.403822303E-1,2.500000000E0,1.000000000E2,1.900000000E1
1.752197998E2,6.506279146E1,2.548789174E1,1.351639756E1,3.100000000E1,6.469999790E0,1.111999969E2,7.469164413E-1,2.500000000E0,1.000000000E2,1.900000000E1
1.762106891E2,6.506276904E1,2.548802057E1,1.351642034E1,3.100000000E1,6.519999981E0,1.106999969E2,7.538156352E-1,2.500000000E0,1.000000000E2,1.700000000E1
1.772347906E2,6.506274967E1,2.548816038E1,1.351644326E1,3.100000000E1,6.629999638E0,1.071999969E2,7.603578366E-1,2.000000000E0,1.000000000E2,1.700000000E1
1.782126395E2,6.506273354E1,2.548829458E1,1.451646436E1,3.200000000E1,6.420000076E0,1.103000031E2,7.670447270E-1,2.000000000E0,1.000000000E2,1.800000000E1
1.791786759E2,6.506270865E1,2.548842441E1,1.451648815E1,3.200000000E1,6.429999828E0,1.118000031E2,7.738726676E-1,2.000000000E0,1.000000000E2,1.800000000E1
1.801879452E2,6.506268719E1,2.548856087E1,1.451651143E1,3.200000000E1,6.480000019E0,1.075999985E2,7.806375789E-1,2.000000000E0,1.000000000E2,1.900000000E1
1.812272003E2,6.506266858E1,2.548869825E1,1.551653378E1,3.300000000E1,6.759999752E0,1.063000031E2,7.872746420E-1,2.500000000E0,1.000000000E2,1.900000000E1
1.821853445E2,6.506265475E1,2.548883596E1,1.551655442E1,3.300000000E1,6.769999981E0,1.065999985E2,7.944406227E-1,2.000000000E0,1.000000000E2,1.900000000E1
1.832080945E2,6.506263581E1,2.548898206E1,1.551657787E1,3.300000000E1,6.469999790E0,1.048000031E2,8.010820388E-1,2.000000000E0,1.000000000E2,1.900000000E1
1.842296394E2,6.506262256E1,2.548912019E1,1.551659834E1,3.300000000E1,6.089999676E0,9.830000305E1,8.077293097E-1,2.500000000E0,1.000000000E2,1.900000000E1
